CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Phone_Number,Email_ID,clusters,Customer Type,Business action
44,Female,31,39,61,9800000043,customer44@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
47,Female,50,40,55,9800000046,customer47@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
48,Female,27,40,47,9800000047,customer48@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
49,Female,29,40,42,9800000048,customer49@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
50,Female,31,40,42,9800000049,customer50@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
51,Female,49,42,52,9800000050,customer51@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
52,Male,33,42,60,9800000051,customer52@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
53,Female,31,43,54,9800000052,customer53@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
54,Male,59,43,60,9800000053,customer54@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
55,Female,50,43,45,9800000054,customer55@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
56,Male,47,43,41,9800000055,customer56@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
57,Female,51,44,50,9800000056,customer57@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
58,Male,69,44,46,9800000057,customer58@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
59,Female,27,46,51,9800000058,customer59@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
60,Male,53,46,46,9800000059,customer60@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
61,Male,70,46,56,9800000060,customer61@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
62,Male,19,46,55,9800000061,customer62@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
63,Female,67,47,52,9800000062,customer63@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
64,Female,54,47,59,9800000063,customer64@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
65,Male,63,48,51,9800000064,customer65@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
66,Male,18,48,59,9800000065,customer66@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
67,Female,43,48,50,9800000066,customer67@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
68,Female,68,48,48,9800000067,customer68@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
69,Male,19,48,59,9800000068,customer69@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
70,Female,32,48,47,9800000069,customer70@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
71,Male,70,49,55,9800000070,customer71@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
72,Female,47,49,42,9800000071,customer72@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
73,Female,60,50,49,9800000072,customer73@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
74,Female,60,50,56,9800000073,customer74@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
75,Male,59,54,47,9800000074,customer75@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
76,Male,26,54,54,9800000075,customer76@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
77,Female,45,54,53,9800000076,customer77@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
78,Male,40,54,48,9800000077,customer78@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
79,Female,23,54,52,9800000078,customer79@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
80,Female,49,54,42,9800000079,customer80@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
81,Male,57,54,51,9800000080,customer81@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
82,Male,38,54,55,9800000081,customer82@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
83,Male,67,54,41,9800000082,customer83@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
84,Female,46,54,44,9800000083,customer84@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
85,Female,21,54,57,9800000084,customer85@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
