CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Phone_Number,Email_ID,clusters,Customer Type,Business action
1,Male,19,15,39,9800000000,customer1@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
3,Female,20,16,6,9800000002,customer3@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
5,Female,31,17,40,9800000004,customer5@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
7,Female,35,18,6,9800000006,customer7@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
9,Male,64,19,3,9800000008,customer9@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
11,Male,67,19,14,9800000010,customer11@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
13,Female,58,20,15,9800000012,customer13@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
15,Male,37,20,13,9800000014,customer15@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
17,Female,35,21,35,9800000016,customer17@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
19,Male,52,23,29,9800000018,customer19@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
21,Male,35,24,35,9800000020,customer21@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
23,Female,46,25,5,9800000022,customer23@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
25,Female,54,28,14,9800000024,customer25@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
27,Female,45,28,32,9800000026,customer27@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
29,Female,40,29,31,9800000028,customer29@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
31,Male,60,30,4,9800000030,customer31@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
33,Male,53,33,4,9800000032,customer33@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
35,Female,49,33,14,9800000034,customer35@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
37,Female,42,34,17,9800000036,customer37@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
39,Female,36,37,26,9800000038,customer39@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
41,Female,65,38,35,9800000040,customer41@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
43,Male,48,39,36,9800000042,customer43@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
45,Female,49,39,28,9800000044,customer45@example.com,4,Careful Spenders,"Convert: Luxury marketing, personalized persuasion"
